"from","to","weight"
"DB11915","DB04844",0.741733690795353
"DB11915","DB12161",0.720309810671256
"DB01045","DB12070",0.63387690689111
"DB00615","DB12070",0.677777777777778
"DB06595","DB12070",0.601659751037344
"DB12161","DB04844",0.94692144373673
"FOOD00004 _ FDB001111 _ Chinese tannin","FOOD00059 _ FDB001111 _ Chinese tannin",0.442333259
"FOOD00004 _ FDB001111 _ Chinese tannin","FOOD00011 _ FDB001111 _ Chinese tannin",0.226449486
"FOOD00004 _ FDB001111 _ Chinese tannin","FOOD00038 _ FDB018806 _ Strictinin",0.154797348875496
"FOOD00004 _ FDB001111 _ Chinese tannin","FOOD00038 _ FDB001111 _ Chinese tannin",0.506815315
"FOOD00004 _ FDB001111 _ Chinese tannin","FOOD00041 _ FDB001111 _ Chinese tannin",0.226449486
"FOOD00004 _ FDB001111 _ Chinese tannin","FOOD00026 _ FDB001111 _ Chinese tannin",0.226449486
"FOOD00004 _ FDB001224 _ L-Ascorbic acid","FOOD00018 _ FDB001224 _ L-Ascorbic acid",0.233193536
"FOOD00004 _ FDB001224 _ L-Ascorbic acid","FOOD00039 _ FDB001224 _ L-Ascorbic acid",0.166505689
"FOOD00004 _ FDB001224 _ L-Ascorbic acid","FOOD00040 _ FDB001224 _ L-Ascorbic acid",0.102734925
"FOOD00004 _ FDB003513 _ Calcium","FOOD00056 _ FDB003521 _ Potassium",0.14676816
"FOOD00004 _ FDB003513 _ Calcium","FOOD00054 _ FDB003521 _ Potassium",0.205311105
"FOOD00004 _ FDB003513 _ Calcium","FOOD00053 _ FDB003521 _ Potassium",0.184108975
"FOOD00004 _ FDB003513 _ Calcium","FOOD00048 _ FDB003521 _ Potassium",0.326431715
"FOOD00004 _ FDB003513 _ Calcium","FOOD00046 _ FDB003513 _ Calcium",0.255052662
"FOOD00004 _ FDB003513 _ Calcium","FOOD00046 _ FDB003521 _ Potassium",0.500996299
"FOOD00004 _ FDB003513 _ Calcium","FOOD00046 _ FDB003520 _ Phosphorus",0.122212734
"FOOD00004 _ FDB003513 _ Calcium","FOOD00050 _ FDB003513 _ Calcium",0.39174886
"FOOD00004 _ FDB003513 _ Calcium","FOOD00050 _ FDB003521 _ Potassium",0.392830629
"FOOD00004 _ FDB003513 _ Calcium","FOOD00051 _ FDB003521 _ Potassium",0.143123787
"FOOD00004 _ FDB003513 _ Calcium","FOOD00051 _ FDB003513 _ Calcium",0.140689751
"FOOD00004 _ FDB003513 _ Calcium","FOOD00070 _ FDB003513 _ Calcium",0.11723815
"FOOD00004 _ FDB003513 _ Calcium","FOOD00069 _ FDB003521 _ Potassium",0.541520396
"FOOD00004 _ FDB003513 _ Calcium","FOOD00070 _ FDB003521 _ Potassium",0.732738435
"FOOD00004 _ FDB003513 _ Calcium","FOOD00076 _ FDB003521 _ Potassium",0.727626309
"FOOD00004 _ FDB003513 _ Calcium","FOOD00066 _ FDB003521 _ Potassium",0.111645688
"FOOD00004 _ FDB003513 _ Calcium","FOOD00067 _ FDB003521 _ Potassium",0.232653531
"FOOD00004 _ FDB003513 _ Calcium","FOOD00067 _ FDB003513 _ Calcium",0.148847647
"FOOD00004 _ FDB003513 _ Calcium","FOOD00014 _ FDB003521 _ Potassium",0.730944629
"FOOD00004 _ FDB003513 _ Calcium","FOOD00015 _ FDB003521 _ Potassium",0.238132198
"FOOD00004 _ FDB003513 _ Calcium","FOOD00018 _ FDB003717 _ Sulfur",0.141693292
"FOOD00004 _ FDB003513 _ Calcium","FOOD00018 _ FDB003521 _ Potassium",0.441770865
"FOOD00004 _ FDB003513 _ Calcium","FOOD00019 _ FDB003521 _ Potassium",0.406251214
"FOOD00004 _ FDB003513 _ Calcium","FOOD00019 _ FDB003513 _ Calcium",0.153657873
"FOOD00004 _ FDB003513 _ Calcium","FOOD00004 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003513 _ Calcium","FOOD00013 _ FDB003521 _ Potassium",0.21373866
"FOOD00004 _ FDB003513 _ Calcium","FOOD00043 _ FDB003521 _ Potassium",0.120645413
"FOOD00004 _ FDB003513 _ Calcium","FOOD00040 _ FDB003521 _ Potassium",0.178531718
"FOOD00004 _ FDB003513 _ Calcium","FOOD00041 _ FDB003521 _ Potassium",0.359183747
"FOOD00004 _ FDB003513 _ Calcium","FOOD00020 _ FDB003521 _ Potassium",0.230002344
"FOOD00004 _ FDB003513 _ Calcium","FOOD00021 _ FDB003521 _ Potassium",0.140906857
"FOOD00004 _ FDB003513 _ Calcium","FOOD00023 _ FDB003521 _ Potassium",0.147208336
"FOOD00004 _ FDB003513 _ Calcium","FOOD00027 _ FDB003513 _ Calcium",0.910098393
"FOOD00004 _ FDB003513 _ Calcium","FOOD00033 _ FDB003521 _ Potassium",0.364112414
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00054 _ FDB003521 _ Potassium",0.205311105
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00056 _ FDB003521 _ Potassium",0.14676816
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00053 _ FDB003521 _ Potassium",0.184108975
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00048 _ FDB003521 _ Potassium",0.326431715
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00046 _ FDB003513 _ Calcium",0.255052662
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00046 _ FDB003520 _ Phosphorus",0.122212734
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00046 _ FDB003521 _ Potassium",0.500996299
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00050 _ FDB003513 _ Calcium",0.39174886
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00050 _ FDB003521 _ Potassium",0.392830629
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00051 _ FDB003521 _ Potassium",0.143123787
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00051 _ FDB003513 _ Calcium",0.140689751
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00070 _ FDB003513 _ Calcium",0.11723815
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00069 _ FDB003521 _ Potassium",0.541520396
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00070 _ FDB003521 _ Potassium",0.732738435
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00076 _ FDB003521 _ Potassium",0.727626309
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00066 _ FDB003521 _ Potassium",0.111645688
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00067 _ FDB003521 _ Potassium",0.232653531
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00067 _ FDB003513 _ Calcium",0.148847647
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00014 _ FDB003521 _ Potassium",0.730944629
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00015 _ FDB003521 _ Potassium",0.238132198
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00018 _ FDB003717 _ Sulfur",0.141693292
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00018 _ FDB003521 _ Potassium",0.441770865
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00019 _ FDB003521 _ Potassium",0.406251214
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00019 _ FDB003513 _ Calcium",0.153657873
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00013 _ FDB003521 _ Potassium",0.21373866
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00004 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00040 _ FDB003521 _ Potassium",0.178531718
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00041 _ FDB003521 _ Potassium",0.359183747
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00043 _ FDB003521 _ Potassium",0.120645413
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00020 _ FDB003521 _ Potassium",0.230002344
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00021 _ FDB003521 _ Potassium",0.140906857
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00027 _ FDB003513 _ Calcium",0.910098393
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00023 _ FDB003521 _ Potassium",0.147208336
"FOOD00004 _ FDB003520 _ Phosphorus","FOOD00033 _ FDB003521 _ Potassium",0.364112414
"FOOD00004 _ FDB003521 _ Potassium","FOOD00054 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00054 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003575 _ Boron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003570 _ Aluminum",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003516 _ Chromium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00054 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00054 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00053 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00053 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00053 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00053 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00053 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00053 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00053 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00054 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003713 _ Silicon",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003516 _ Chromium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003570 _ Aluminum",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003581 _ Cobalt",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB004188 _ Silver",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB004181 _ Lithium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003780 _ Mercury",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003777 _ Lead",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003766 _ Cadmium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003763 _ Arsenic",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003717 _ Sulfur",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003653 _ Molybdenum",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00057 _ FDB003575 _ Boron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003717 _ Sulfur",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB013444 _ Nickel",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB003763 _ Arsenic",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00056 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003575 _ Boron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003570 _ Aluminum",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003521 _ Potassium",0.326431715
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003516 _ Chromium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00047 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003581 _ Cobalt",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003653 _ Molybdenum",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB013444 _ Nickel",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB013400 _ Selenium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB004188 _ Silver",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB004181 _ Lithium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003780 _ Mercury",0.27316959
